0,1,2,3,4,5
129,33,64,31,85.57575757575758,MTD0116_Bach_BWV1046-01.mid
67,32,73,31,77.0,MTD0126_Bach_BWV1048-01.mid
76,60,65,56,100.75,MTD0167_Bach_BWV1065-01.mid
129,21,63,20,73.38095238095238,MTD0179_Bach_BWV0543-01.mid
78,42,58,29,108.97619047619048,MTD0242_Bach_BWV1002-03-1.mid
129,18,60,16,100.16666666666667,MTD0262_Bach_BWV1001-02.mid
129,18,65,16,100.16666666666667,MTD0266_Bach_BWV1003-02.mid
64,25,69,19,89.84,MTD0267_Bach_BWV1003-03.mid
52,64,83,45,100.703125,MTD0297_Bach_BWV1009-05.mid
129,31,63,29,84.12903225806451,MTD0333_Bach_BWV0808-01.mid
70,30,61,22,90.2,MTD0334_Bach_BWV0808-02.mid
79,64,61,43,109.578125,MTD0336_Bach_BWV0808-05-1.mid
62,64,68,45,106.328125,MTD0337_Bach_BWV0808-05-2.mid
74,40,71,39,96.925,MTD0338_Bach_BWV0808-06.mid
72,24,12,23,63.833333333333336,MTD0391_Bach_BWV0847-01.mid
77,24,14,23,75.75,MTD0393_Bach_BWV0848-01.mid
129,32,60,31,77.15625,MTD0397_Bach_BWV0850-01.mid
63,52,65,29,110.34615384615384,MTD0404_Bach_BWV0853-02.mid
64,28,66,27,75.21428571428571,MTD0408_Bach_BWV0855-02.mid
77,31,17,30,68.45161290322581,MTD0409_Bach_BWV0856-01.mid
60,27,76,26,72.88888888888889,MTD0410_Bach_BWV0856-02.mid
129,57,76,29,107.19298245614036,MTD0412_Bach_BWV0857-02.mid
129,34,63,32,88.5,MTD0415_Bach_BWV0859-01.mid
67,24,19,23,69.16666666666667,MTD0417_Bach_BWV0860-01.mid
67,50,66,45,91.68,MTD0418_Bach_BWV0860-02.mid
129,52,66,37,107.5,MTD0421_Bach_BWV0862-01.mid
129,44,73,31,94.79545454545455,MTD0422_Bach_BWV0862-02.mid
68,25,60,18,99.6,MTD0423_Bach_BWV0863-01.mid
129,40,78,32,97.775,MTD0424_Bach_BWV0863-02.mid
69,33,60,32,82.27272727272727,MTD0425_Bach_BWV0864-01.mid
69,46,61,36,107.32608695652173,MTD0426_Bach_BWV0864-02.mid
69,54,64,53,97.61111111111111,MTD0427_Bach_BWV0865-01.mid
129,36,69,34,86.83333333333333,MTD0430_Bach_BWV0866-02.mid
129,38,59,36,95.97368421052632,MTD0431_Bach_BWV0867-01.mid
129,56,66,35,101.28571428571429,MTD0433_Bach_BWV0868-01.mid
129,38,75,24,102.86842105263158,MTD0434_Bach_BWV0868-02.mid
129,51,70,42,103.23529411764706,MTD0436_Bach_BWV0869-02.mid
129,33,69,32,82.33333333333333,MTD0439_Bach_BWV0871-01.mid
129,34,74,26,100.8529411764706,MTD0440_Bach_BWV0871-02.mid
56,34,74,33,93.26470588235294,MTD0441_Bach_BWV0872-01.mid
129,30,87,24,94.9,MTD0443_Bach_BWV0872-02.mid
